date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:28	140941/140941	---M--	200	added ('OK')	image/jpeg	etag:%222268d-69537e74-8dfd;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2025/11/af-hero-bf-1.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2025/11/af-hero-bf-1.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:28	53115/53115	---M--	200	added ('OK')	image/jpeg	etag:%22cf7b-69537ea5-7993;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2025/11/AFS-1.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2025/11/AFS-1.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:29	3489/3489	---M--	200	added ('OK')	image/png	etag:%22da1-6368b847-be4;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2022/11/new-checkmark.png	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2022/11/new-checkmark.png	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:29	46765/46765	---M--	200	added ('OK')	image/png	etag:%22b6ad-6375f5ea-2391;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2022/11/con_.png	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2022/11/con_.png	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:29	131900/131900	---M--	200	added ('OK')	image/jpeg	etag:%225eee4d1ccb42f68b7e8864296875a72d%22	https://dv10wrybufwul.cloudfront.net/swissker/wp-content/uploads/2025/07/01050414/OIL-OREGANO-2.jpg	C:/Users/toant/Desktop/top-5/dv10wrybufwul.cloudfront.net/swissker/wp-content/uploads/2025/07/01050414/OIL-OREGANO-2.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:30	221149/221149	---M--	200	added ('OK')	image/jpeg	etag:%2235fdd-696de23b-2d80;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2026/01/3product.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2026/01/3product.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:30	83948/83948	---M--	200	added ('OK')	image/jpeg	etag:%22147ec-6967aee7-78e8;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2026/01/6product-1.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2026/01/6product-1.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:30	194692/194692	---M--	200	added ('OK')	image/jpeg	etag:%222f884-6780f98b-390b;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2025/01/4-2.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2025/01/4-2.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:30	215048/215048	---M--	200	added ('OK')	image/jpeg	etag:%2234808-691c9ce0-639e;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2025/11/topical-solutions.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2025/11/topical-solutions.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:31	93967/93967	---M--	200	added ('OK')	image/jpeg	etag:%2216f0f-68cc1601-7871;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2025/09/AFS-Hero-swissker.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2025/09/AFS-Hero-swissker.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:31	30970/30970	---M--	200	added ('OK')	image/jpeg	etag:%2278fa-6777e0fc-3a07;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2025/01/Healthy-Toenails.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2025/01/Healthy-Toenails.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:32	97520/97520	---M--	200	added ('OK')	image/jpeg	etag:%2217cf0-6780f98e-3a2c;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2025/01/6-2.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2025/01/6-2.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:32	264043/264043	---M--	200	added ('OK')	image/jpeg	etag:%220a63d2316e1f798989f66eb3521ae9e5%22	https://dv10wrybufwul.cloudfront.net/swissker/wp-content/uploads/2025/07/01045331/AFS-reason-2048x1565-1.jpg	C:/Users/toant/Desktop/top-5/dv10wrybufwul.cloudfront.net/swissker/wp-content/uploads/2025/07/01045331/AFS-reason-2048x1565-1.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:32	157981/157981	---M--	200	added ('OK')	image/jpeg	etag:%222691d-68cc1cb7-2bee;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2025/09/comp-min-2.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2025/09/comp-min-2.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:33	251194/251194	---M--	200	added ('OK')	image/jpeg	etag:%223d53a-6777e26c-3a0a;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2025/01/testimonial2.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2025/01/testimonial2.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:33	350724/350724	---M--	200	added ('OK')	image/jpeg	etag:%2255a04-6777e26d-3a0b;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2025/01/testimonial1.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2025/01/testimonial1.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:34	2215477/2215477	---M--	200	added ('OK')	image/jpeg	etag:%2221ce35-684a8f83-6423;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2025/06/AFS-364-min.jpg	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2025/06/AFS-364-min.jpg	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
12:40:35	4290693/4290693	---M--	200	added ('OK')	image/png	etag:%22417885-684a9173-6428;;;%22	https://www.trustedconsumersreviews.com/wp-content/uploads/2025/06/Copy-of-Copy-of-IMG_3233-min.png	C:/Users/toant/Desktop/top-5/www.trustedconsumersreviews.com/wp-content/uploads/2025/06/Copy-of-Copy-of-IMG_3233-min.png	(from https://www.trustedconsumersreviews.com/best-toenail-fungus-alternatives-stv25/)
